Permissionaria;Autos;TC;Denominacao_da_linha;caracteristica
LITORANEA TRANSPORTES COLETIVOS S/A;8293;5;SAO SEBASTIAO - SAO JOSE DOS CAMPOS;Rodoviária Litorânea
LITORANEA TRANSPORTES COLETIVOS S/A;8294;5;CARAGUATATUBA - SAO JOSE DOS CAMPOS;Rodoviária Litorânea
LITORANEA TRANSPORTES COLETIVOS S/A;8295;5;PARAIBUNA - SAO JOSE DOS CAMPOS;Semiurbana
LITORANEA TRANSPORTES COLETIVOS S/A;8296;5;SAO SEBASTIAO - CARAGUATATUBA;Semiurbana
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8297;5;OLIMPIA - SÃO PAULO (T.TIÊTE);Rodoviária Convencional
RODOVIÁRIO E TURISMO SÃO JOSÉ LTDA;8298;5;TAUBATE - S.L.D.P.(CATUCABA);Rodoviária Convencional
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8300;5;SÃO PAULO (T.TIÊTE) - CARAGUATATUBA;Rodoviária Litorânea
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8302;5;SANTOS - CARAGUATATUBA(Rodoviária);Rodoviária Litorânea
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8303;5;BERTIOGA - S.SEBASTIAO(BOISSUCANGA);Semiurbana Litorânea
LITORANEA TRANSPORTES COLETIVOS S/A;8306;5;CARAGUATATUBA - UBATUBA;Semiurbana Litorânea
VIAÇÃO LUWASA LTDA;8312;4;PINDORAMA - CATANDUVA;Semiurbana
EMPRESA AUTO ÔNIBUS SÃO JORGE LTDA;8313;2;TATUI - RUBIAO JUNIOR;Rodoviária Convencional
EMPRESA DE ÔNIBUS PASSARO MARRON S/A;8322;5;SÃO PAULO (T.TIÊTE) - TAUBATE;Rodoviária Convencional
VIAÇÃO GUAXUPE LTDA;8323;1;AGUAI - MOJI MIRIM;Rodoviária Convencional
EMPRESA CRUZ DE TRANSPORTES LTDA;8325;4;ARARAQUARA - NOVO HORIZONTE;Rodoviária Convencional
VIAÇÃO PIRACICABANA S/A;8326;3;ARARAQUARA - IBITINGA;Rodoviária Convencional
VIAÇÃO PIRACICABANA S/A;8338;3;ARARAQUARA - SÃO PAULO (T.TIÊTE);Rodoviária Convencional
EMPRESA CRUZ DE TRANSPORTES LTDA;8339;4;ARARAQUARA - MONTE ALTO;Rodoviária Convencional
LIMA & LIMA LTDA;8350;1;LEME - SANTA CRUZ CONCEICAO;Semiurbana
VIAÇÃO PIRACICABANA S/A;8355;3;PANORAMA - BAURU;Rodoviária Convencional
VIAÇÃO PIRACICABANA S/A;8356;3;RINOPOLIS - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
VIAÇÃO PIRACICABANA S/A;8357;3;ADAMANTINA - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
EMPRESAS REUNIDAS PAULISTA DE TRANSPORTES LTDA;8358;3;DRACENA - SÃO PAULO(BARRA FUNDA);Rodoviária Convencional
VIAÇÃO SANTA CRUZ LTDA;8359;1;SAO JOAO DA BOA VISTA - CAMPINAS;Rodoviária Convencional
